Length,Benefit
0,0
1,1
2,2
3,3
4,6
5,8
6,8
7,9
8,10
9,9
10,9
11,10
12,11
13,10
14,11
15,14
16,13
17,12
18,11
19,11
20,15
21,18
22,19
23,23
24,22
25,24
26,26
27,24
28,25
29,29
30,25
31,26
32,27
33,22
34,29
35,30
36,27
37,28
38,29
39,29
40,29
41,35
42,36
43,37
44,36
45,29
46,30
47,20
48,24
49,37
50,38
51,39
52,39
53,28
54,40
55,44
56,45
57,45
58,46
59,47
60,48
61,49
62,53
63,52
64,54
65,51
66,52
67,55
68,50
69,54
70,49
71,55
72,58
73,57
74,58
75,59
76,60
77,55
78,54
79,56
80,55
81,59
82,61
83,60
84,64
85,63
86,62
87,63
88,60
89,68
90,67
91,65
92,66
93,63
94,66
95,64
96,65
97,68
98,70
99,78
100,76
